genes,uid,snp_class,fxn_class,chr,chrpos,global_mafs,allele,clinical_significance,acc
"[1] ""MCCC1""
",12637471,snv,intron_variant,3,3:183044649," [1] ""1000Genomes""    ""ALSPAC""         ""Chileans""       ""Estonian""      
 [5] ""GENOME_DK""      ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""PRJEB36033""     ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",V,,NC_000003.12
,8118008,snv,,20,20:3187520," [1] ""1000Genomes""    ""Estonian""       ""GENOME_DK""      ""GnomAD""        
 [5] ""GoNL""           ""KOREAN""         ""Korea1K""        ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[13] ""TOPMED""         ""ALFA""          
",N,,NC_000020.11
"[1] ""ITPKB""
",4653767,snv,"intron_variant,3_prime_UTR_variant",1,1:226728377," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",Y,,NC_000001.11
"[1] ""MAP4K4""
",34043159,snv,intron_variant,2,2:101796654," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""MGP""            ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""ALFA""          
",N,,NC_000002.12
"[1] ""SCN2A""
",353116,snv,"genic_upstream_transcript_variant,intron_variant",2,2:165277122," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HGDP_Stanford""  ""HapMap""        
 [9] ""KOREAN""         ""NorthernSweden"" ""PAGE_STUDY""     ""PRJEB36033""    
[13] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[17] ""TOPMED""         ""TWINSUK""        ""ALFA""          
",H,,NC_000002.12
"[1] ""BALR6""
",4073221,snv,intron_variant,3,3:18235996," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GoNL""           ""KOREAN""         ""Korea1K""        ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[13] ""TWINSUK""        ""ALFA""          
",B,,NC_000003.12
"[1] ""IP6K2""
",12497850,snv,"genic_upstream_transcript_variant,intron_variant",3,3:48711556," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOGRAPHIC""   
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HGDP_Stanford"" 
 [9] ""HapMap""         ""KOREAN""         ""NorthernSweden"" ""PRJEB36033""    
[13] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[17] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",B,,NC_000003.12
"[1] ""ITIH1""
",143918452,snv,intron_variant,3,3:52782824," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GnomAD""        
 [5] ""GoNL""           ""KOREAN""         ""Korea1K""        ""MGP""           
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""TOMMO""         
[13] ""TOPMED""         ""TWINSUK""        ""ALFA""          
",R,,NC_000003.12
,78738012,snv,,4,4:113439216," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""TOMMO""          ""TOPMED""        
[13] ""TWINSUK""        ""ALFA""          
",B,,NC_000004.12
"[1] ""NDUFAF2""
",2694528,snv,intron_variant,5,5:60978096," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[13] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",N,,NC_000005.10
,9468199,snv,,6,6:27713436," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""Vietnamese""     ""ALFA""          
",R,,NC_000006.12
"[1] ""CTSB""
",2740594,snv,intron_variant,8,8:11849665," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GoNL""           ""KOREAN""         ""NorthernSweden"" ""Qatari""        
 [9] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[13] ""TWINSUK""        ""ALFA""          
",N,,NC_000008.11
"[1] ""BIN3""
",2280104,snv,"genic_upstream_transcript_variant,intron_variant",8,8:22668467," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""PAGE_STUDY""     ""PRJEB36033""    
[13] ""PRJEB37584""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[17] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[21] ""ALFA""          
",N,,NC_000008.11
"[1] ""LOC105379297""
",591323,snv,"intron_variant,genic_downstream_transcript_variant",8,8:16839582," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GoNL""           ""HapMap""         ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",V,,NC_000008.11
"[1] ""SPTSSB""
",67460515,snv,"genic_upstream_transcript_variant,intron_variant,5_prime_UTR_variant,upstream_transcript_variant",3,3:161350778," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",Y,,NC_000003.12
"[1] ""PAM""
",10463554,snv,"genic_downstream_transcript_variant,intron_variant",5,5:102983270," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",N,,NC_000005.10
"[1] ""ZNF165""
",17767294,snv,intron_variant,6,6:28086420," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HGDP_Stanford"" 
 [9] ""HapMap""         ""KOREAN""         ""Korea1K""        ""MGP""           
[13] ""NorthernSweden"" ""PRJEB36033""     ""Qatari""         ""SGDP_PRJ""      
[17] ""Siberian""       ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[21] ""ALFA""          
",D,,NC_000006.12
,943437,snv,,6,6:111921050," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""Vietnamese""     ""ALFA""          
",D,,NC_000006.12
,2921073,snv,,8,8:8450133," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""Qatari""        
 [9] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[13] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",N,,NC_000008.11
"[1] ""GBF1""
",2296887,snv,"genic_upstream_transcript_variant,intron_variant,non_coding_transcript_variant,5_prime_UTR_variant",10,10:102245653," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""ALFA""          
",Y,,NC_000010.11
"[1] ""CAB39L""
",9568188,snv,intron_variant,13,13:49353596," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""Vietnamese""     ""ALFA""          
",Y,,NC_000013.11
"[1] ""DLG2""
",3793947,snv,"intron_variant,genic_downstream_transcript_variant,genic_upstream_transcript_variant",11,11:83833429," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""MGP""            ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""Vietnamese""     ""ALFA""          
",V,,NC_000011.10
,8017172,snv,,14,14:55732330," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOGRAPHIC""   
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HGDP_Stanford"" 
 [9] ""HapMap""         ""KOREAN""         ""Korea1K""        ""NorthernSweden""
[13] ""PRJEB36033""     ""PRJEB37584""     ""Qatari""         ""SGDP_PRJ""      
[17] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[21] ""Vietnamese""     ""ALFA""          
",N,,NC_000014.9
,76904798,snv,,12,12:40220632,"[1] ""1000Genomes"" ""GnomAD""      ""Korea1K""     ""TOMMO""       ""TOPMED""     
[6] ""ALFA""       
",Y,,NC_000012.12
"[1] ""ITGA2B""
",5910,snv,"synonymous_variant,coding_sequence_variant",17,17:44372421," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""ExAC""          
 [5] ""FINRISK""        ""GENOME_DK""      ""GnomAD""         ""GnomAD_exomes"" 
 [9] ""GoESP""          ""GoNL""           ""HapMap""         ""KOREAN""        
[13] ""Korea1K""        ""MGP""            ""NorthernSweden"" ""PRJEB36033""    
[17] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[21] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",D,benign,NC_000017.11
"[1] ""GPHN""     ""TMEM229B""
",1555399,snv,"genic_upstream_transcript_variant,intron_variant,genic_downstream_transcript_variant",14,14:67517653," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""ALFA""          
",W,,NC_000014.9
"[1] ""LOC107984782""
",2414739,snv,"genic_upstream_transcript_variant,intron_variant",15,15:61701935," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HGDP_Stanford""  ""HapMap""        
 [9] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""PAGE_STUDY""    
[13] ""PRJEB36033""     ""PRJEB37584""     ""Qatari""         ""SGDP_PRJ""      
[17] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[21] ""Vietnamese""     ""ALFA""          
",R,,NC_000015.10
"[1] ""BCKDK""
",14235,snv,"synonymous_variant,coding_sequence_variant",16,16:31110472," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""ExAC""          
 [5] ""FINRISK""        ""GENOME_DK""      ""GnomAD""         ""GnomAD_exomes"" 
 [9] ""GoESP""          ""GoNL""           ""HapMap""         ""KOREAN""        
[13] ""MGP""            ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
[17] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[21] ""Vietnamese""     ""ALFA""          
",R,benign,NC_000016.10
"[1] ""MAPT""
",17649553,snv,intron_variant,17,17:45917282," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[13] ""TOPMED""         ""TWINSUK""        ""ALFA""          
",B,,NC_000017.11
"[1] ""RIT2""
",12456492,snv,intron_variant,18,18:43093415," [1] ""1000Genomes""    ""ALSPAC""         ""Chileans""       ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HapMap""        
 [9] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""PAGE_STUDY""    
[13] ""PRJEB36033""     ""PRJEB37584""     ""Qatari""         ""SGDP_PRJ""      
[17] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[21] ""Vietnamese""     ""ALFA""          
",D,,NC_000018.10
"[1] ""TMPRSS9""
",62120679,snv,"intron_variant,genic_upstream_transcript_variant",19,19:2363321," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GoNL""          
 [5] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""PAGE_STUDY""    
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[13] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",B,,NC_000019.10
,9275326,snv,,6,6:32698883," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""ALFA""          
",Y,,NC_000006.12
"[1] ""GPNMB""
",199347,snv,intron_variant,7,7:23254127," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""ExAC""          
 [5] ""FINRISK""        ""GENOME_DK""      ""GnomAD""         ""GnomAD_exomes"" 
 [9] ""GoESP""          ""GoNL""           ""HapMap""         ""KOREAN""        
[13] ""Korea1K""        ""MGP""            ""NorthernSweden"" ""Qatari""        
[17] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[21] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",R,,NC_000007.14
"[1] ""SH3GL2""
",13294100,snv,"genic_upstream_transcript_variant,intron_variant",9,9:17579692," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""HapMap""         ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",D,,NC_000009.12
"[1] ""ITGA8""
",10906923,snv,"genic_downstream_transcript_variant,intron_variant",10,10:15527599," [1] ""1000Genomes""    ""ALSPAC""         ""Chileans""       ""Estonian""      
 [5] ""GENOME_DK""      ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""NorthernSweden"" ""PRJEB36033""     ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""Vietnamese""     ""ALFA""          
",H,,NC_000010.11
"[1] ""GPR65""
",8005172,snv,intron_variant,14,14:88006268," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",Y,,NC_000014.9
"[1] ""CASC16""
",4784227,snv,intron_variant,16,16:52565276," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HapMap""        
 [9] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""PAGE_STUDY""    
[13] ""PRJEB36033""     ""PRJEB37584""     ""Qatari""         ""SGDP_PRJ""      
[17] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[21] ""Vietnamese""     ""ALFA""          
",H,,NC_000016.10
"[1] ""CTSB""
",1293298,snv,intron_variant,8,8:11854934," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""ALFA""          
",M,,NC_000008.11
"[1] ""NUCKS1""
",3805,snv,3_prime_UTR_variant,1,1:205714227," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HapMap""        
 [9] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""PRJEB36033""    
[13] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[17] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",D,,NC_000001.11
"[1] ""ZDHHC2""
",4921739,snv,"genic_upstream_transcript_variant,intron_variant",8,8:17172148," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GnomAD""        
 [5] ""GoNL""           ""KOREAN""         ""Korea1K""        ""MGP""           
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",Y,,NC_000008.11
"[1] ""CACNA1B""
",2278973,snv,"coding_sequence_variant,missense_variant,synonymous_variant",9,9:138121810," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GoESP""          ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""MGP""            ""NorthernSweden"" ""PAGE_STUDY""     ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOPMED""         ""TWINSUK""       
[17] ""Vietnamese""     ""ALFA""          
",D,benign,NC_000009.12
"[1] ""BAG3""
",144814361,snv,5_prime_UTR_variant,10,10:119651405,"[1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
[5] ""NorthernSweden"" ""SGDP_PRJ""       ""Siberian""       ""TWINSUK""       
[9] ""ALFA""          
",H,"uncertain-significance,benign",NC_000010.11
"[1] ""NGEF""
",113732002,snv,"intron_variant,genic_upstream_transcript_variant",2,2:232982170," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""NorthernSweden""
 [9] ""PAGE_STUDY""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""ALFA""          
",M,,NC_000002.12
"[1] ""IGSF9B""
",3802920,snv,intron_variant,11,11:133917106," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GoNL""           ""HapMap""         ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""PAGE_STUDY""     ""PRJEB37584""     ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TWINSUK""        ""ALFA""          
",N,,NC_000011.10
"[1] ""PARP9""        ""LOC105374071""
",55740225,snv,intron_variant,3,3:122549781," [1] ""1000Genomes""    ""ALSPAC""         ""GENOME_DK""      ""GnomAD""        
 [5] ""GoNL""           ""KOREAN""         ""Korea1K""        ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[13] ""TOPMED""         ""TWINSUK""        ""ALFA""          
",Y,,NC_000003.12
,138895122,snv,,12,12:33075690," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GnomAD""        
 [5] ""GoNL""           ""NorthernSweden"" ""SGDP_PRJ""       ""TOMMO""         
 [9] ""TOPMED""         ""TWINSUK""        ""ALFA""          
",Y,,NC_000012.12
"[1] ""MED12L""
",2276765,snv,"genic_downstream_transcript_variant,intron_variant",3,3:151413434," [1] ""1000Genomes""    ""ALSPAC""         ""Chileans""       ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HapMap""        
 [9] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",V,,NC_000003.12
,144029582,snv,,12,12:41754811," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""NorthernSweden"" ""Qatari""        
 [9] ""SGDP_PRJ""       ""TOPMED""         ""TWINSUK""        ""ALFA""          
",R,,NC_000012.12
"[1] ""MCCC1""        ""LOC124906309""
",140278703,snv,"2KB_upstream_variant,upstream_transcript_variant,intron_variant",3,3:183034255," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""NorthernSweden"" ""Qatari""        
 [9] ""SGDP_PRJ""       ""Siberian""       ""TOPMED""         ""TWINSUK""       
[13] ""ALFA""          
",Y,benign,NC_000003.12
"[1] ""BST1""
",12651314,snv,"intron_variant,genic_downstream_transcript_variant",4,4:15751947," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HapMap""        
 [9] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",Y,,NC_000004.12
"[1] ""LOC107984782""
",3889108,snv,"genic_upstream_transcript_variant,intron_variant",15,15:61712597," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",Y,,NC_000015.10
,1027647,snv,,15,15:63082626," [1] ""1000Genomes""    ""Estonian""       ""GENOME_DK""      ""GnomAD""        
 [5] ""GoNL""           ""KOREAN""         ""Korea1K""        ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[13] ""TOPMED""         ""Vietnamese""     ""ALFA""          
",V,,NC_000015.10
"[1] ""STX1B""
",140820592,snv,"genic_upstream_transcript_variant,5_prime_UTR_variant",16,16:31010559," [1] ""1000Genomes""    ""ALSPAC""         ""GENOME_DK""      ""GnomAD""        
 [5] ""KOREAN""         ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
 [9] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[13] ""ALFA""          
",K,benign,NC_000016.10
"[1] ""KANSL1""
",113564729,snv,intron_variant,17,17:46101729," [1] ""1000Genomes""    ""ALSPAC""         ""GENOME_DK""      ""GnomAD""        
 [5] ""GoNL""           ""KOREAN""         ""NorthernSweden"" ""Qatari""        
 [9] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[13] ""TWINSUK""        ""ALFA""          
",R,,NC_000017.11
,148534175,snv,,17,17:62120839," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",Y,,NC_000017.11
,8087969,snv,,18,18:51157219," [1] ""1000Genomes""    ""Estonian""       ""GENOME_DK""      ""GoNL""          
 [5] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""Qatari""        
 [9] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[13] ""Vietnamese""     ""ALFA""          
",D,,NC_000018.10
"[1] ""RERE""     ""RERE-AS1""
",302714,snv,"intron_variant,genic_upstream_transcript_variant",1,1:8426071," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""Vietnamese""     ""ALFA""          
",M,,NC_000001.11
"[1] ""KLHL7""
",28624974,snv,"intron_variant,genic_downstream_transcript_variant",7,7:23149317," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""NorthernSweden""
 [9] ""PRJEB36033""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""ALFA""          
",Y,,NC_000007.14
"[1] ""MROH3P""
",4915466,snv,intron_variant,1,1:200936379," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",B,,NC_000001.11
"[1] ""LOC105379297""
",11203810,snv,"intron_variant,genic_downstream_transcript_variant",8,8:16854852," [1] ""1000Genomes""    ""ALSPAC""         ""Chileans""       ""GoNL""          
 [5] ""HapMap""         ""KOREAN""         ""Korea1K""        ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[13] ""TOPMED""         ""TWINSUK""        ""ALFA""          
",B,,NC_000008.11
