MAPPED_GENE,SNP ID,DISEASE/TRAIT,CHR_ID,P-VALUE,INITIAL SAMPLE SIZE
GBA1,rs3115534,Parkinson's disease,1,2e-14,"1,015 African ancestry cases, 1,296 African ancestry controls, 473 African admixed ancestry cases, 195,134 African admixed ancestry controls"
GBA2,rs186852039,Parkinson disease,9,4e-06,"6,868 cases, 204 controls"
"GBAP1, GBAP1",rs28445596,Parkinson disease,1,1e-06,"6,868 cases, 204 controls"
"GBAP1, GBAP1",rs2049805,Parkinson disease,1,6e-07,"6,868 cases, 204 controls"
GBF1,rs10748818,Parkinson's disease,10,3e-06,"1,972 Chinese ancestry cases, 2,478 Chinese ancestry controls"
GBF1,rs2296887,Parkinson's disease,10,2e-07,"20,184 European ancestry cases, 397,324 European ancestry controls"
GBF1,rs10748818,Parkinson's disease or first degree relation to individual with Parkinson's disease,10,1e-09,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
GCH1,rs11158026,Parkinson's disease,14,3e-16,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
GCH1,rs11158026,Parkinson's disease,14,4e-16,"20,184 European ancestry cases, 397,324 European ancestry controls"
GCH1,rs11158026,Parkinson's disease,14,9e-15,"9,619 European ancestry cases, 324,522 European ancestry controls"
GCH1,rs11158026,Parkinson's disease,14,2e-09,"1,972 Chinese ancestry cases, 2,478 Chinese ancestry controls"
GCH1,rs11158026,Parkinson's disease,14,6e-11,"13,708 European ancestry cases, 95,282 European ancestry controls"
GCH1,rs11158026,Parkinson's disease,14,1e-10,"20,184 European ancestry cases, 397,324 European ancestry controls"
GCH1,rs11158026,Parkinson's disease or first degree relation to individual with Parkinson's disease,14,2e-16,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
GFPT2 - RNU6-525P,rs10464059,Parkinson's disease,5,3e-06,"1,752 European ancestry cases, 1,745 European ancestry controls"
"GNA12, AMZ1",rs11772125,Parkinson disease,7,4e-06,"6,868 cases, 204 controls"
GPM6B,rs7066890,Parkinson's disease,X,1e-08,"11,142 European ancestry cases, 5,379 European ancestry proxy cases, 547,618 European ancestry controls"
GPNMB,rs199347,Parkinson's disease,7,4e-18,"20,184 European ancestry cases, 397,324 European ancestry controls"
GPNMB,rs199351,Parkinson's disease,7,4.0000000000000003e-28,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
GPNMB,rs199347,Parkinson's disease,7,1e-12,"13,708 European ancestry cases, 95,282 European ancestry controls"
GPNMB,rs199351,Parkinson's disease or first degree relation to individual with Parkinson's disease,7,4.9999999999999996e-26,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
GPR19,rs12813102,Parkinson's disease progression (motor),12,8e-06,"2,848 individuals"
GPR32P1 - GPR32,rs4802739,Parkinson's disease progression (composite),19,1e-06,"2,755 individuals"
GPR65,rs8005172,Parkinson's disease,14,6e-10,"20,184 European ancestry cases, 397,324 European ancestry controls"
GPR65,rs8005172,Parkinson's disease,14,9e-11,"20,184 European ancestry cases, 397,324 European ancestry controls"
GPR89P - RSL24D1P1,rs4140646,Parkinson's disease or first degree relation to individual with Parkinson's disease,6,6e-12,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
GPRIN3 - SNCA,rs356228,Parkinson's disease or first degree relation to individual with Parkinson's disease,4,1e-48,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
GPRIN3 - SNCA,rs10516839,Parkinson's disease,4,4e-17,"20,184 European ancestry cases, 397,324 European ancestry controls"
GPRIN3 - SNCA,rs79483792,Parkinson's disease,4,3e-17,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
GPRIN3 - SNCA,rs114762839,Parkinson's disease,4,1e-10,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
GUCY1A2 - ASS1P13,rs17092224,Parkinson's disease progression (cognitive),11,4e-06,"2,788 individuals"
GXYLT1,rs144755950,Parkinson's disease or first degree relation to individual with Parkinson's disease,12,2e-10,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
"HASPIN, ITGAE",rs11653889,Parkinson's disease,17,1e-14,"5,167 European ancestry cases, 5,366 European ancestry controls"
HEATR6,rs61204179,Parkinson's disease,17,1e-09,"1,972 Chinese ancestry cases, 2,478 Chinese ancestry controls"
HIP1R,rs10847864,Parkinson's disease or first degree relation to individual with Parkinson's disease,12,1e-37,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
HIP1R,rs10847864,Parkinson's disease,12,4e-07,"1,972 Chinese ancestry cases, 2,478 Chinese ancestry controls"
HIP1R,rs10847864,Parkinson's disease,12,2e-41,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
HLA-DQB1 - MTCO3P1,rs9275326,Parkinson's disease,6,1e-13,"20,184 European ancestry cases, 397,324 European ancestry controls"
HLA-DQB1 - MTCO3P1,rs9275152,Parkinson's disease,6,2e-08,"4,639 Spanish ancestry cases, 2,949 Spanish ancestry controls"
HLA-DQB1 - MTCO3P1,rs9275326,Parkinson's disease,6,1e-12,"13,708 European ancestry cases, 95,282 European ancestry controls"
HLA-DRA,rs3129882,Parkinson's disease,6,5e-10,"1,565 European ancestry sproadic Parkinson's disease cases, 435 European ancestry familial Parkinson's disease cases, 1,986 European ancestry controls"
HLA-DRA,rs3129882,Parkinson's disease,6,2e-10,"2,000 European ancestry cases, 1,986 European ancestry controls"
HLA-DRA,rs3129882,Parkinson's disease,6,3e-08,"1,565 European ancestry sproadic Parkinson's disease cases, 435 European ancestry familial Parkinson's disease cases, 1,986 European ancestry controls"
HLA-DRB1 - HLA-DQA1,rs17425622,Parkinson's disease,6,4e-17,"9,619 European ancestry cases, 324,522 European ancestry controls"
HLA-DRB1 - HLA-DQA1,rs2647062,Parkinson's disease,6,6e-12,"20,184 European ancestry cases, 397,324 European ancestry controls"
HMGB1P13 - LINC00326,rs75859381,Parkinson's disease or first degree relation to individual with Parkinson's disease,6,1e-10,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
HMGN2P18,rs35682329,Parkinson's disease,1,1.0000000000000001e-75,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
HMGN2P18 - KRTCAP2,rs35749011,Parkinson's disease,1,5e-11,"5,167 European ancestry cases, 5,366 European ancestry controls"
HMGN2P18 - KRTCAP2,rs35749011,Parkinson's disease or first degree relation to individual with Parkinson's disease,1,2e-70,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
HMGN2P18 - KRTCAP2,rs35749011,Parkinson's disease,1,1.0000000000000001e-29,"13,708 European ancestry cases, 95,282 European ancestry controls"
HMGN2P18 - KRTCAP2,rs10908458,Parkinson disease,1,3e-06,"6,868 cases, 204 controls"
HMGN2P18 - KRTCAP2,rs12028043,Parkinson disease,1,7e-06,"6,868 cases, 204 controls"
HMGN2P18 - KRTCAP2,rs35749011,Parkinson's disease,1,3e-35,"20,184 European ancestry cases, 397,324 European ancestry controls"
HNRNPA1P64 - COX6A1P1,rs12133858,Time to levodopa-induced-dyskinesia onset in Parkinson's disease,1,1e-06,"2,784 European ancestry individuals"
"HTR2A, HTR2A-AS1",rs7984966,Parkinson disease and lewy body pathology,13,2e-06,"484 European ancestry cases, 1,145 European ancestry controls"
HYCC1 - KLHL7-DT,rs10256359,Parkinson's disease,7,2e-12,"9,619 European ancestry cases, 324,522 European ancestry controls"
IGSF9B,rs3802920,Parkinson's disease,11,7e-09,"20,184 European ancestry cases, 397,324 European ancestry controls"
IGSF9B,rs3802920,Parkinson's disease or first degree relation to individual with Parkinson's disease,11,6e-20,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
IGSF9B,rs3802920,Parkinson's disease,11,9e-20,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
ING1,rs74125084,Parkinson's disease,13,1e-07,"5,167 European ancestry cases, 5,366 European ancestry controls"
INPP5F,rs117896735,Parkinson's disease,10,2e-19,"20,184 European ancestry cases, 397,324 European ancestry controls"
INPP5F,rs117896735,Parkinson's disease,10,4e-13,"13,708 European ancestry cases, 95,282 European ancestry controls"
INPP5F,rs117896735,Parkinson's disease or first degree relation to individual with Parkinson's disease,10,2.0000000000000002e-28,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
IP6K2,rs12497850,Parkinson's disease or first degree relation to individual with Parkinson's disease,3,1e-10,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
IP6K2,rs12497850,Parkinson's disease,3,9e-09,"20,184 European ancestry cases, 397,324 European ancestry controls"
IP6K2,rs12497850,Parkinson's disease,3,3e-09,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
"IQCJ-SCHIP1, IQCJ",rs150468541,Parkinson's disease progression (cognitive),3,3e-08,"2,650 European and unknown ancestry individuals"
IRS2 - RN7SKP10,rs1078514,Parkinson's disease,13,2e-09,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
ISM1 - TASP1,rs1223271,Parkinson's disease,20,5e-06,"1,713 European ancestry cases, 3,978 European ancestry controls"
ITGA2B,rs850731,Parkinson's disease,17,7e-10,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
ITGA2B,rs5910,Parkinson's disease,17,4e-06,"20,184 European ancestry cases, 397,324 European ancestry controls"
ITGA8,rs7077361,Parkinson's disease,10,5e-06,"1,713 European ancestry cases, 3,978 European ancestry controls"
ITGA8,rs13664,Parkinson's disease,10,1e-12,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
ITGA8,rs10906923,Parkinson's disease,10,1e-08,"20,184 European ancestry cases, 397,324 European ancestry controls"
ITGA8,rs896435,Parkinson's disease or first degree relation to individual with Parkinson's disease,10,3e-13,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
ITGA8,rs10906923,Parkinson's disease,10,3e-07,"20,184 European ancestry cases, 397,324 European ancestry controls"
ITIH1,rs143918452,Parkinson's disease,3,3e-08,"20,184 European ancestry cases, 397,324 European ancestry controls"
ITPKB,rs4653767,Parkinson's disease,1,3e-24,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
ITPKB,rs4653767,Parkinson's disease or first degree relation to individual with Parkinson's disease,1,1e-15,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
ITPKB,rs4653767,Parkinson's disease,1,2e-11,"20,184 European ancestry cases, 397,324 European ancestry controls"
ITPKB,rs4653767,Parkinson's disease,1,6e-08,"20,184 European ancestry cases, 397,324 European ancestry controls"
"ITPKB, ITPKB-IT1",rs16846351,Parkinson's disease,1,8e-10,"6,724 East Asian ancestry cases, 24,851 East Asian ancestry controls"
KANSL1,rs17577094,Parkinson's disease,17,8e-09,"1,130 Ashkenazi Jewish cases, 2,611 Ashkenazi Jewish controls"
KANSL1,rs113434679,Parkinson's disease,17,9e-13,"4,639 Spanish ancestry cases, 2,949 Spanish ancestry controls"
KANSL1,rs113564729,Parkinson's disease,17,2e-11,"20,184 European ancestry cases, 397,324 European ancestry controls"
KANSL1,rs7225002,Parkinson's disease or first degree relation to individual with Parkinson's disease,17,2e-40,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
KCNIP3,rs2042477,Parkinson's disease or first degree relation to individual with Parkinson's disease,2,1e-08,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
KCNIP4,rs141863958,Parkinson disease and lewy body pathology,4,1e-06,"484 European ancestry cases, 1,145 European ancestry controls"
KCNN3,rs1218566,Parkinson disease,1,1e-06,"6,868 cases, 204 controls"
KCNN3,rs11264275,Parkinson disease,1,2e-06,"6,868 cases, 204 controls"
KCNN3,rs11584630,Parkinson disease,1,5e-06,"6,868 cases, 204 controls"
KCNN3,rs2798604,Parkinson disease,1,3e-06,"6,868 cases, 204 controls"
KCNN3 - PMVK,rs1630500,Parkinson's disease,1,2e-08,"1,130 Ashkenazi Jewish cases, 2,611 Ashkenazi Jewish controls"
KCNN3 - PMVK,rs1630500,Parkinson disease,1,1e-37,"6,868 cases, 204 controls"
KCNS3,rs76116224,Parkinson's disease or first degree relation to individual with Parkinson's disease,2,1e-08,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
KLHDC1,rs79503702,"Parkinson's disease (familial, age at onset)",14,5e-08,431 European ancestry cases
KLHL29,rs6741991,Parkinson's disease progression (motor),2,3e-06,"2,848 individuals"
KLHL7,rs28624974,Parkinson's disease,7,8e-12,"20,184 European ancestry cases, 397,324 European ancestry controls"
KNTC1 - HCAR2,rs34773022,Parkinson's disease,12,2e-09,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
KPNA1,rs55961674,Parkinson's disease or first degree relation to individual with Parkinson's disease,3,1e-11,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
KPNA3,rs1127021,Parkinson's disease,13,2e-08,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
KTN1 - RPL13AP3,rs8017172,Parkinson's disease,14,2e-07,"20,184 European ancestry cases, 397,324 European ancestry controls"
KTN1 - RPL13AP3,rs8012377,Parkinson's disease,14,2e-10,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
LAMP3,rs71314284,Parkinson's disease,3,1e-08,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
LAMTOR2 - RAB25,rs34372695,Parkinson's disease,1,4e-12,"5,333 European ancestry cases, 12,019 European ancestry controls"
LAMTOR2 - RAB25,rs34372695,Parkinson's disease,1,4e-12,"20,184 European ancestry cases, 397,324 European ancestry controls"
LCORL,rs7673321,Parkinson's disease,4,8e-11,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
LCORL,rs34025766,Parkinson's disease or first degree relation to individual with Parkinson's disease,4,3e-10,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
LHFPL2,rs344650,"Parkinson's disease (familial, age at onset)",5,1e-11,431 European ancestry cases
LINC00456 - MBNL2,rs4771268,Parkinson's disease or first degree relation to individual with Parkinson's disease,13,1e-09,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
LINC00511,rs36082764,Parkinson disease axial motor severity,17,6e-08,"3,572 European ancestry individuals"
LINC00544 - LINC00365,rs117239007,Parkinson disease axial motor progression,13,5e-07,"3,572 European ancestry individuals"
LINC01012,rs9468199,Parkinson's disease,6,9e-13,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
LINC01012,rs4713118,Parkinson's disease,6,2e-10,"9,619 European ancestry cases, 324,522 European ancestry controls"
LINC01012,rs9468195,Parkinson's disease,6,2e-09,"20,184 European ancestry cases, 397,324 European ancestry controls"
LINC01012,rs9468199,Parkinson's disease,6,1e-12,"20,184 European ancestry cases, 397,324 European ancestry controls"
LINC01127 - IL1R2,rs12467316,Parkinson's disease,2,5e-07,"20,184 European ancestry cases, 397,324 European ancestry controls"
LINC01147,rs1561758,Parkinson's disease,14,9e-10,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
LINC01239,rs77115593,Time to levodopa-induced-dyskinesia onset in Parkinson's disease,9,4e-07,"2,784 European ancestry individuals"
LINC01307 - LINC01709,rs2338971,Parkinson's disease,1,5e-10,"1,565 European ancestry sproadic Parkinson's disease cases, 435 European ancestry familial Parkinson's disease cases, 1,986 European ancestry controls"
LINC01307 - LINC01709,rs2338971,Parkinson's disease,1,4e-10,"1,565 European ancestry sproadic Parkinson's disease cases, 435 European ancestry familial Parkinson's disease cases, 1,986 European ancestry controls"
LINC01495 - FANCF,rs55971529,Parkinson's disease motor subtype (tremor dominant vs postural instability/gait difficulty),11,4e-06,"1,570 European ancestry tremor dominant cases, 1,259 European ancestry postural instability/gait difficulty cases"
LINC01500,rs17833740,Parkinsonism in frontotemporal lobe dementia,14,9e-06,"184 European ancestry cases, 198 European ancestry controls"
LINC01549,rs208892,Levodopa-induced dyskinesia in levodopa treated Parkinson's disease,21,6e-07,"172 Korean ancestry cases, 569 Korean ancestry controls"
LINC02063 - LINC02114,rs62343939,Parkinson's disease progression (composite),5,3e-06,"2,755 individuals"
"LINC02210, LINC02210, LINC02210-CRHR1",rs393152,Parkinson's disease,17,2e-16,"1,713 European ancestry cases, 3,978 European ancestry controls"
"LINC02210, LINC02210, LINC02210-CRHR1",rs2942168,Parkinson's disease,17,1.0000000000000001e-28,"5,333 European ancestry cases, 12,019 European ancestry controls"
"LINC02210, LINC02210, LINC02210-CRHR1",rs365825,Parkinson's disease,17,3.9999999999999997e-32,"9,619 European ancestry cases, 324,522 European ancestry controls"
LINC02210-CRHR1,rs62053943,Parkinson's disease or first degree relation to individual with Parkinson's disease,17,4e-68,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
LINC02210-CRHR1,rs62053943,Parkinson's disease,17,8e-09,"4,639 Spanish ancestry cases, 2,949 Spanish ancestry controls"
LINC02210-CRHR1,rs117615688,Parkinson's disease or first degree relation to individual with Parkinson's disease,17,7e-16,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
LINC02210-CRHR1,rs9912362,Parkinson's disease or first degree relation to individual with Parkinson's disease,17,2e-13,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
LINC02210-CRHR1,rs62053943,Parkinson's disease,17,1e-69,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
LINC02210-CRHR1,rs7225082,Parkinson's disease,17,6e-16,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
LINC02213 - ANKRD33B,rs139422381,Parkinson's disease,5,2e-06,"496 East Asian ancestry male cases, 2,390 East Asian ancestry male controls"
LINC02224,rs13153459,Parkinson's disease,5,1e-06,"250 Han Chinese ancestry cases, 250 Han Chinese ancestry controls"
LINC02331,rs12431733,Parkinson's disease,14,3e-06,"1,713 European ancestry cases, 3,978 European ancestry controls"
LINC02353 - MAPRE1P2,rs189093213,Time to levodopa-induced-dyskinesia onset in Parkinson's disease,4,6e-08,"2,784 European ancestry individuals"
LINC02400 - GXYLT1,rs138017112,Parkinson's disease or first degree relation to individual with Parkinson's disease,12,7e-12,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
LINC02451,rs148294058,Parkinson's disease,12,5e-09,"9,619 European ancestry cases, 324,522 European ancestry controls"
LINC02465 - LINC02479,rs17050901,Levodopa wearing off effect (motor symptom score change) in Parkinson's disease (response to zonisamide),4,6e-06,"67 Japanese ancestry responders, 133 Japanese ancestry poor responders"
LINC02527 - CCN6,rs943437,Parkinson's disease,6,6e-08,"20,184 European ancestry cases, 397,324 European ancestry controls"
LINC02527 - CCN6,rs997368,Parkinson's disease or first degree relation to individual with Parkinson's disease,6,2e-09,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
LINC02527 - CCN6,rs997368,Parkinson's disease,6,1e-08,"1,972 Chinese ancestry cases, 2,478 Chinese ancestry controls"
LINC02527 - CCN6,rs943437,Parkinson's disease,6,2e-07,"20,184 European ancestry cases, 397,324 European ancestry controls"
LINC02555,rs17442721,Parkinson's disease,12,9e-27,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
LINC02582 - RN7SL401P,rs12959200,Parkinson disease and lewy body pathology,18,2e-06,"484 European ancestry cases, 1,145 European ancestry controls"
LINC02629 - PARD3,rs224750,Parkinson's disease progression (composite),10,1e-06,"2,755 individuals"
LINC02842,rs118004610,Parkinson's disease progression (cognitive),8,2e-06,"2,650 European and unknown ancestry individuals"
LINC02842,rs118029233,Parkinson's disease progression (cognitive),8,3e-06,"2,650 European and unknown ancestry individuals"
LINC02885,rs5755468,Parkinson's disease progression (cognitive),22,4e-06,"2,788 individuals"
LINC02889 - SNX13,rs10253857,Parkinson's disease progression (composite),7,4e-06,"2,755 individuals"
LINC02920 - CYCSP42,rs1736020,Parkinson's disease,21,1e-09,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
LINC02949 - LINC02950,rs2921073,Parkinson's disease,8,1e-07,"20,184 European ancestry cases, 397,324 European ancestry controls"
LINC02949 - LINC02950,rs2979160,Parkinson's disease,8,3e-06,"20,184 European ancestry cases, 397,324 European ancestry controls"
LINC03011 - RABGEF1P1,rs76949143,Parkinson's disease or first degree relation to individual with Parkinson's disease,7,1e-08,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
LINC03051 - IGSF11,rs1879553,Parkinson's disease,3,1e-06,"250 Han Chinese ancestry cases, 250 Han Chinese ancestry controls"
LMNA,rs10737170,Parkinson's disease,1,3e-10,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
LMNA,rs553016,Parkinson disease,1,4e-21,"6,868 cases, 204 controls"
LMNA,rs577492,Parkinson disease,1,3e-21,"6,868 cases, 204 controls"
LMNA,rs513043,Parkinson disease,1,2e-21,"6,868 cases, 204 controls"
LMNB1 - MARCHF3,rs959573,Parkinson's disease (motor and cognition),5,5e-06,443 European ancestry cases
LRP1B,rs80306347,Parkinson’s disease progression to dementia,2,7e-09,"3,923 European ancestry individuals"
LRP8,rs72673189,Time to levodopa-induced-dyskinesia onset in Parkinson's disease,1,3e-08,"2,784 European ancestry individuals"
LRPPRC - RNU6-566P,rs17031893,Levodopa-induced dyskinesia in levodopa treated Parkinson's disease,2,7e-06,"172 Korean ancestry cases, 569 Korean ancestry controls"
LRPPRC - RNU6-566P,rs10495912,Levodopa-induced dyskinesia in levodopa treated Parkinson's disease,2,6e-07,"172 Korean ancestry cases, 569 Korean ancestry controls"
LRPPRC - RNU6-566P,rs12185607,Levodopa-induced dyskinesia in levodopa treated Parkinson's disease,2,5e-06,"172 Korean ancestry cases, 569 Korean ancestry controls"
LRRC25 - SSBP4,rs111408331,Parkinson disease,19,3e-06,"6,868 cases, 204 controls"
LRRC30 - PTPRM,rs79372348,Parkinson disease,18,4e-06,"6,868 cases, 204 controls"
LRRK2,rs1491942,Parkinson's disease,12,6e-14,"5,333 European ancestry cases, 12,019 European ancestry controls"
LRRK2,rs34778348,Parkinson's disease,12,3e-21,"2,197 cases, 2,061 controls"
LRRK2,rs34637584,Parkinson's disease,12,2.0000000000000002e-28,"3,426 European ancestry cases, 29,624 European ancestry controls"
LRRK2,rs34778348,Parkinson's disease,12,2e-09,"554 East Asian ancestry female cases, 2,610 East Asian ancestry female controls"
LRRK2,rs34637584,Parkinson's disease or first degree relation to individual with Parkinson's disease,12,4e-148,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
LRRK2,rs34778348,Parkinson's disease,12,5e-13,"1,050 East Asian ancestry cases, 5,000 East Asian ancestry controls"
LRRK2,rs17443414,Parkinson's disease,12,3e-10,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
LRRK2,rs28903073,Parkinson's disease,12,1.0000000000000001e-39,"9,619 European ancestry cases, 324,522 European ancestry controls"
LRRK2,rs34778348,Parkinson's disease,12,3e-30,"1,972 Chinese ancestry cases, 2,478 Chinese ancestry controls"
